,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
902,,LOC,ja,M,.,S,.,Briti,seebistaar,Anna,Friel,hakkab,koos
903,,LOC,kehastab,loomulikult,Leesonit,ennast,.,Londonis,müüdi,avalikkusele,tundmatu,dokumentaalfilm,Charlie
904,,LOC,pooleli,.,Kuna,ta,rääkis,vene,keeles,",",et,saanud,poiss
905,,LOC,Mäeinseneriks,õppiva,abikaasa,Gilbert'iga,kohtus,vene,keelt,õppiv,Helve,Leningradis,1980.
906,ORG,LOC,seda,mitmed,kõrged,ametiisikud,NATO,Brüsseli,peakorteris,.,Washingtoni,ametlikku,seisukohta
907,,LOC,treenib,rikkaid,eestlasi,helikopteripilootideks,.,Briti,kuningriigi,alam,Bob,Moggridge,(
908,PER,LOC,jäi,tema,kolmas,elukaaslane,Mai,Londonis,näi,tusel,imetlema,kahe,peopesa
909,,LOC,Tokio,metroo,-,Millest,kirjutab,vene,arhitektuurikriitik,Andrei,Gozak,eesti,ajakirja
910,PER,LOC,ei,tähistata,midagi,muud,kui,Londoni,finantskeskust,.,Ilma,artiklita,on
911,,LOC,Chinatowni,või,Little,Italyta,.,Londoni,fragmenteerumise,vastandlikeks,näideteks,on,Brick
912,PER,LOC,:,Tallinna,Pank,(,Aare,Saks,),",",Starmani,maja,Mustamäel
913,,LOC,1088,leheküljele,mahtus,sedapuhku,8000,prantsuse,veini,",",mis,valiti,22520
914,,LOC,",",kohati,ka,eesti,ning,vene,keeles,joomisest,",",vägivallast,","
915,,LOC,harjunud,vaatajale,.,Uus,60jaoline,vene,seriaal,“,Peterburi,saladused,”
916,,LOC,teeb,seriaalis,kaasa,hulk,nimekaid,vene,näitlejaid,nagu,Natalja,Gundareva,(
917,,LOC,mingist,virtuaalsest,firmast,.,Teine,Londoni,ja,Tallinna,vaheline,erinevus,on
918,ORG,LOC,1996,-,97,töötas,Statoilis,Stockholmi,peakontoris,",",meeldis,talle,käia
919,PER,LOC,kasvaja,.,Lugupidamisega,Veikko,Kiiver,Stockholm,Ei,taha,elada,politseiriigis,“
920,,LOC,nagu,ka,paljud,siinsed,kohalikud,vene,poliitikud,",",Lääne,kasvavale,survele
921,,LOC,",",et,teda,jälgitakse,.,Briti,filminäitleja,Robert,Carlyle,on,ühes
922,,LOC,kunst,",",näiteks,",",tänapäeva,prantsuse,kunstist,?,Põhimõtteliselt,mitte,millegi
923,,LOC,Viimast,sõna,paluksin,võtta,renessansiaegse,prantsuse,kirjanduskangelase,Gargantua,söömisrõõmude,väljendusena,-
924,,LOC,olid,kõrvitsaseemned,",",mille,üks,vene,rahvusest,armas,mammi,mulle,taskusse
925,,LOC,Chupa,järgmine,avalik,esinemine,toimus,Londoni,moenädalal,-,moekeerises,vintsutatud,asjaosalisi
926,,LOC,ohvreid,.,Tehke,nii,nagu,Londoni,moedaamid,ja,te,saate,tea
927,,LOC,desse,ja,klubidesse,.,Talvise,Londoni,öised,tänavad,nimelt,kubisevad,neidu
928,,LOC,mitte,kui,organite,kogumit,.,Vene,ajal,tuli,ette,vägisi,ravimist
929,,LOC,keskerakondlased,",",siis,Lasnamäe,jäeti,vene,parteide,pärusmaaks,.,Lasnamäe,poolitati
930,,LOC,kirjeldavad,",",kuidas,üks,turske,vene,mees,“,Ilueedile,”,tänava
931,,ORG,ütles,Paevooteri,juhatuse,esimees,intervjuus,Õhtulehele,.,“,Ta,nõudis,meie
932,,PER,üle,ukse,),:,“,Enno,hakkas,nut,ma,ja,läks
933,,LOC,teistkordselt,alla,400,lahingulennu,kogemusega,vene,piloodi,lennuki,.,Afganistani,sõda
934,,LOC,sugulastele,Valimisjärgse,aasta,jooksul,on,vene,lehed,täitunud,lugudest,onupojapoliitika,","
935,,LOC,kümme,aastat,hiljem,satub,pedas,vene,filoloogiat,õppinud,Viks,endiselt,piinlikesse
936,,LOC,surnud,üle,20,jalgratturi,.,Hollandi,ajakirjanduse,hinnangul,on,põhjuseks,kurikuulus
937,,LOC,1935.,aastal,",",kui,asus,vene,keelde,tõlkima,“,Tõde,ja
938,,LOC,on,ühtviisi,kuritegelikud,.,Sõnasõda,prantsuse,pressis,Ajaloolase,ning,kirjastaja,Stéphane
939,PER,ORG,Mitme,pakkumise,seast,valis,Aaviksoo,Norma,.,Teisel,ärilõunal,rääkis,ta
940,,LOC,Ühelt,poolt,vajub,hantide,põlisalale,vene,naftapuurijate,vastupandamatu,vägi,",",teiselt
941,,LOC,vaheldumisi,viiulilugudega,",",saksa,",",prantsuse,",",hiina,ja,šoti,aktsendiga
942,,LOC,",",et,eestlased,räägivad,venelastega,vene,keelt,kahel,põhjusel,:,kas
943,,LOC,ametnik,teeb,ettepaneku,minna,üle,vene,keelele,.,Mees,keeldub,kategooriliselt
944,,LOC,meie,kuulama,",",kuidas,teie,vene,keelt,räägite,",",suvatsege,nüüd
945,,LOC,rohkem,on,Orenburgnefti,huve,kaitsnud,vene,poliitikud,ja,Keskerakond,.,Savisaare
946,,LOC,sammu,Orenburgi,meeste,kasuks,astus,vene,poliitik,.,Vene,fraktsiooni,liikme
947,,LOC,kiire,ringkäigu,kaks,hõberebasekasukatesse,rõivastunud,vene,prostituuti,ning,kiirustavad,siis,ukse
948,,ORG,heites,talle,ette,ebakompetentsust,.,Keskerakonda,kuuluv,Rannit,ütles,lahkudes,:
949,ORG,LOC,",",”,ütles,BBC-le,kõrge,Briti,diplomaat,.,Peamine,",",milles
950,,LOC,.,Nii,ei,rahuldatud,ühe,vene,noormehe,taotlust,",",kes,soovis
951,PER,LOC,Viljandis,keskkooli,lõpetanud,20aastase,Ergma,Moskva,ülikooli,astrofüüsikat,õppima,.,Sinna
952,,LOC,“,Talence'i,kümnevõistluse,peakorraldaja,",",prantsuse,daam,Karine,Chaillou,lausus,tunnustavalt
953,,LOC,Kas,tekib,uus,kultuurinomenklatuur,nagu,vene,ajal,?,Ning,kas,riigi
954,,LOC,Kadaka,turg,silmad,ette,nii,Londoni,Petticot,Lane'ile,kui,ka,paljudele
955,,LOC,ning,Hortus,Musicuse,kava,tugiheliloojaks,prantsuse,komponist,André,Campra,(,1660
956,,LOC,Leedu,"3,00",+,"3,1",77,Slovakkia,"3,05","3,05",80,Mongoolia,"3,01"
957,,LOC,kinopiltidest,jõuab,nüüd,ekraanile,ehtne,prantsuse,seiklusfilm,“,Jaaguar,”,.
958,,LOC,aastate,kinokülastajale,.,Hollywoodis,levinud,prantsuse,filmide,kloonimisel,on,kerge,sulega
959,,LOC,Pagejad,”,ümbertegemisega,",",langes,prantsuse,naljameister,lõpuks,USA,tavakomöödiate,tasemele
960,,LOC,lihtinimese,saatuse,kujutamisele,on,peetud,prantsuse,poeetilise,realismi,üheks,põhitunnuseks,.
961,,LOC,Poeetiline,realism,tegelikult,sobis,okupatsiooniaegsele,prantsuse,filmimaastikule,.,Kuigi,sealsed,tsensuuriolud
962,,LOC,taas,vabas,Pariisis,ja,kujunes,prantsuse,filmikunsti,triumfiks,.,Meie,ees
963,,LOC,“,Paradiisi,lapsi,”,loetakse,prantsuse,filmi,üheks,suurimaks,meistriteoseks,","
964,,LOC,on,kodul,ja,keskkonnal,.,Briti,ajakirjanduses,on,televägivalla,probleemi,üle
965,,LOC,",",läti,",",balti,",",vene,ja,kogu,maailma,üks,silmapaistvamaid
966,,LOC,siis,saabus,meie,juurde,Agro-Lindasse,vene,keelt,rääkiv,seltskond,",",kes
967,,LOC,olid,tehingud,",",kus,lahkuvad,vene,sõjaväelased,müüsid,oma,korterid,ise
968,,LOC,kaevandamine,",",linna,nimi,tähendabki,vene,keeles,põlevkivi,",",”,räägib
969,,LOC,.,Meenub,aastatagune,vestlus,maineka,prantsuse,ajaloolasega,",",kes,oli,siiralt
970,,LOC,ta,seda,meelehärmihetke,.,Uutes,prantsuse,teatmeteostes,artikkel,“,Eesti,”
971,,LOC,Jüri,Ehlvesti,novell,“,Jaapanlannaga,Pariisis,”,),.,Kinnimakstud,Balti
972,,LOC,on,aga,paratamatult,piiratud,.,Prantsuse,ajakirjandusse,satub,mõni,uudis,Eestist
973,,LOC,1985.,aastal,oli,12,aastat,vene,restauraatorite,käes,olnud,.,Maali
974,,LOC,maailmasõjani,oli,Mustvee-lähedases,Raja,külas,vene,vanausuliste,ikoonimaali,töökoda,",",mida
975,,LOC,Eestisse,jäänud,töid,.,Kuigi,vene,ikoone,pakutakse,moodsa,transiitkaubana,üliküllu
976,,LOC,võimalikuks,korraldada,esimene,ülevaatenäitus,eestimaiste,vene,vanausuliste,haruldasest,ikoonimaalist,.,Esitatu
977,,LOC,on,nii,eestlaste,kui,ka,vene,keelt,kõneleva,noorsoo,hinnangud,soomlastele
978,,LOC,",",tundub,soomlaste,selline,käitumine,vene,keelt,kõnelevatele,noortele,sõbralikumana,","
979,,LOC,välja,on,pakutud,ka,mõned,vene,ja,itaalia,toidud,.,Ülegloobuselise
980,PER,LOC,tundnud,kaks,firmat,:,Laing,Inglismaalt,ja,OmniTrax,Ameerikast,.,Viimane
981,,LOC,Bistro,",",mis,pakub,traditsioonilisi,vene,suupisteid,ja,jooke,",",toetab
982,ORG,LOC,Londonist,),",",mc,Slim,Stockholmist,",",AG,Riiast,(,techno
983,,LOC,ekraanil,tõeliselt,koomilist,pilti,-,prantsuse-,ja,inglisekeelset,teksti,kirillitsas,.
984,,LOC,märke,aujourd,',hui,(,prantsuse,keeles,',täna,',)
985,,LOC,",",ilmselt,saab,aga,iga,vene,keelt,vähegi,oskav,inimene,aru
986,,LOC,Näitlejad,murravad,inglise,keelt,raske,prantsuse,aktsendiga,",",mis,tihti,lause
987,,LOC,:,kuidas,hääldada,ja,käänata,vene,nimesid,?,Ivanove,on,Venemaal
988,,LOC,Esmalt,valmistas,Kubrick,rohkesti,meelehärmi,Londoni,transvestiitide,klubi,Madame,Jojo,bossidele
989,,LOC,Mart,Siimann,kohtus,seal,oma,vene,kolleegi,Viktor,Tšernomõrdiniga,",",kuid
990,,LOC,Komplimendina,nendin,pr,Tombergi,suurepärast,vene,keelt,ning,krambivaba,suhtlemisoskust,.
991,,LOC,veider,.,Roolis,istus,39aastane,vene,rahvusest,K. Inspektori,arvates,oli,mees
992,,LOC,on,muutnud,rahvusvahelist,seksitööstust,.,Briti,majandusleht,The,Economist,vaatleb,seksiäri
993,,LOC,ajal,õpivad,Londoni,tipptasemel,prostituudid,vene,keelt,",",sest,sealtpoolt,tuleb
994,,LOC,siis,saabus,meie,juurde,Agro-Lindasse,vene,keelt,rääkiv,selts,kond,","
995,,LOC,saared,16.,sajandini,asustamata,kuni,prantsuse,kolonistide,tulekuni,",",kes,Aafrikast
996,,LOC,kreooli,keel,(,inglise,ja,prantsuse,keele,ees,),.,Pärast
997,,LOC,Tallinna,katusel,tervitavad,meid,varajased,vene,kooliõpilased,",",keda,eriskummalisi,kaadervärke
998,,LOC,.,Kogenud,pisiosatäitjatele,pakuvad,aga,vene,giidi,seletused,hoopiski,rohkem,kui
999,,LOC,giidiga,kaasa,",",kuna,aga,vene,koolinoored,jäävad,uudishimulikult,troppi,Kaubandus-Tööstuskoja
1000,ORG,LOC,”,(,Karakter,),-,Holland,-,“,Varas,”,(
1001,,LOC,on,selles,",",et,kui,vene,geeniuste,lihtpapad,kippusid,jooma,ja
1002,,LOC,.,Satelliidivahetused,ASTRA,positsioonil,Äpardused,vene,kanderaketiga,PROTON,põhjustasid,uuele,ASTRA
1003,,LOC,katkestas,telefonikõne,Moskvast,.,Eesti,vene,ajalehe,toimetaja,palus,20,min
1004,PER,LOC,Harjutamise,mõttes,sõitis,autoga,mööda,Helsingit,.,Lille,istus,kõrval,.
1005,,LOC,riviproovi,tegid,",",oli,ka,vene,noorsugu,kokku,kogunenud,.,Mõnesaja
1006,,LOC,",",kes,tulid,tantsima,kuuma,vene,ansambli,Ruki,Verh,järele,.
1007,,LOC,marssis,",",olid,needsamad,noored,vene,poisid,pealtvaatajate,hulgas,",",arutlesid
1008,,LOC,on,mitte-eestlane,ja,räägib,enamasti,vene,keeles,.,Eesti,integratsioonipoliitika,eesmärk
1009,,LOC,hulk,on,jäänud,samaks,mis,vene,ajal,:,neid,on,umbes
1010,,LOC,saajate,seas,ei,olnud,ühtki,vene,nimega,tublit,riigialamat,.,Ei
1011,PER,LOC,Euroopa,Liidu,maadest,.,Priit,Läti,sõnul,oli,võistlejate,seas,ka
1012,PER,LOC,",",pärines,aastast,1994.,Priit,Läti,sõnul,oli,võistkonnal,plaanis,viimased
1013,,LOC,Ljudmilla,Jolšina,",",esimene,naiskadett,vene,mereväes,c,.,See,on
1014,,LOC,oludesse,.,Teostuse,vormiks,valisin,vene,kultuuris,väga,edukalt,toimiva,nähtuse
1015,,LOC,”,(,Nikaraagua,),.,Briti,näitleja,Ben,Kingsley,juhitud,Berlinale
1016,,LOC,maailmast,",",kellest,on,saanud,vene,maffia,õpipoisid,.,Meie,järelmaks
1017,,LOC,Märt,Väljataga,sugune,”,on,vene,sõjaväes,käinud,ja,jutustas,mõned
1018,,LOC,saatis,pärast,seda,Aino,Kallasele,Londonisse,oma,luulekogusid,",",mille,eest
1019,,LOC,vaadata,ka,Moskva,näitlejate,ja,prantsuse,lavastaja,nägemuses,",",mis,näitab
1020,,LOC,esinduse,raamatupidaja,koht,",",kuna,prantsuse,keelt,rääkivaid,arvestajaid,on,Eestis
1021,,LOC,",",Pariis,"3,40",Helsingi,"3,45",London,"3,50",Kopenhaagen,",",Viin,"3,55"
1022,,LOC,58,",","0 103,0","17,0","22,0",Euroopa,filmid,Vaatajaid,",",mln,"0,1"
1023,,LOC,vaadatuim,film,eesti,kinodes,.,Briti,veiderdaja,sissetulekud,on,küll,muljetavaldavad
1024,,LOC,kliendid,peavad,mitmel,telekanalil,lugema,prantsuse-,või,inglisekeelset,teksti,slaavi,tähtedega
1025,,LOC,võivad,oma,teleri,vahendusel,lugeda,prantsuse,telekanalite,teleteksti,slaavi,tähtedega,.
1026,,LOC,tekst,ühelgi,juhul,ei,muutunud,vene,tähtedega,tekstiks,",",selgitas,sama
1027,,LOC,",",et,kõnealusel,teleril,puudub,vene,tähestik,.,Ühe,sõltumatu,eksperdi
1028,,LOC,teleri,abil,normaalselt,lugeda,nii,vene,kui,lääne,telekanalite,teletekste,.
1029,,LOC,STV,edastab,välisprogrammide,võõrkeelset,teleteksti,vene,tähestikuga,.,Huvi,tunti,näiteks
1030,,LOC,Mullu,detsembris,Sundsvallis,peetud,II,Euroopa,Loodusfilmifestivalil,",",kus,Walter,Köhler
1031,,LOC,.,Nii,lõpetasid,oma,käskkirju,prantsuse,kuningad,ja,eesti,keeles,peaks
1032,,LOC,vaadatud,saatega,täpselt,ühel,ajal,prantsuse,mängufilm,“,Valitseja,voli,”
1033,,LOC,Venemaale,asudes,harjus,Stalin,mageda,vene,toiduga,üllatavalt,kiiresti,.,Pelmeenid
1034,,LOC,varakult,valis,Stalin,endale,just,vene,poliitiku,imago,",",seepärast,hoidus
1035,,LOC,.,Koduköögis,talitas,tal,kirjaoskamatu,vene,naine,",",kes,oskas,vaid
1036,,LOC,b,.,paavstmobiil,c,.,vene,veoauto,Ataman,d,.,Imemehe
1037,,LOC,Saksamaal,peetud,programmilises,kõnes,“,Euroopa,kultuuri,ühtsus,”,leiab,ta
1038,,LOC,Lisades,siiski,samas,:,“,Euroopa,kultuuri,ei,saa,olla,ka
1039,PER,LOC,Ühes,hilisemas,essees,kasutab,Eliot,Euroopa,(,resp,Euroopa,kirjanduse,)
1040,,ORG,veel,tükk,aega,oodata,.,Postimehes,kirjutas,Tartu,Kunstikooli,noorte,töödest
1041,,LOC,hiljuti,kasehalule,toetuvat,lauakest,eksponeerinud,prantsuse,täht,Philippe,Starck,või,traadist
1042,,LOC,ja,kaabli-osa,programmivalik,.,5,vene,kanalit,",",sh,kuradi,piraat
1043,,LOC,hästi,uskuda,",",et,need,vene,kanaleid,vahitakse,.,Kaablifirmadest,võiks
1044,,LOC,taoline,Fitzi-ekstra,",",“,Fitz,Hongkongis,”,(,Cracker,:,White
1045,,LOC,ameeriklased,tegutsevad,enamasti,meeskonnaga,.,Briti,sarjade,lühem,kestvus,mõjutab,tugevasti
1046,,LOC,kus,eestlased,ärplesid,oma,võitudega,vene,tšinovnikute,üle,.,Ka,võiks
1047,,LOC,",",kus,ta,lisaks,ka,vene,keelt,õppis,.,“,Ma
1048,,LOC,räägivad,eesti,keele,kõrval,ka,vene,ja,inglise,keelt,ning,oma
1049,,LOC,mida,digitaaltelevisioon,endast,kujutab,.,Briti,televisiooniäri,ajalugu,kordub,.,Kümme
1050,,LOC,üks,analüütik,.,“,Kui,Prantsuse,valitsus,Air,France'i,kontrollpakist,ei
1051,,LOC,pakkumine,riiulile,seisma,.,”,Prantsuse,valitsusel,pole,plaaniski,loobuda,kontrollist
1052,,LOC,kivilinna,",",lõpuks,näitab,õnnetult,vene,rubla,",",mille,eest,omal
1053,,LOC,.,See,tuleb,venekeelne,",",vene,näitlejatega,.,Põhiteemaks,ikka,kohalik
1054,,ORG,et,firma,A-Poster,sponsoreeris,reklaamipinnaga,keskerakonda,.,Mõni,kuu,hiljem,jäi
1055,PER,LOC,“,Varem,me,tellisime,Guinnessi,Londonist,",",aga,see,ei,kõlvanud
1056,,ORG,”,David,Duchovnyga,peaosas,.,Õhtulehes,arvati,",",et,filmis,mõnitati
1057,,LOC,on,venelased,.,Kui,räägitakse,vene,gangsteritest,",",siis,nad,ei
1058,,LOC,omistati,kõige,väärtuslikuma,kelguhokimängija,tiitel,vene,rahvusest,Eesti,noormehele,Maksim,Vedernikovile
1059,,LOC,ja,arvestused,saab,ta,teha,vene,keeles,",",aru,peab,saama
1060,,LOC,sünnil,”,",",eestiainelistel,“,Viljandi,maastikul,”,",",“,Virvel
1061,,LOC,leiab,ta,ülal,tsiteeritud,eessõnas,prantsuse,lugejatele,.,Argielu,semiootika,Kutsumuselt
1062,,LOC,Marge,Käsperit,",",Tartu,ülikooli,prantsuse,filoloogia,magistranti,",",kes,mulle
1063,,LOC,olev,arvutitootja,Olivetti,Personal,Computers,Londoni,rahandustegelase,Edward,Gottesmani,loodud,holding-firmaga
1064,,LOC,ei,ütle,",",nagu,ühes,prantsuse,filmis,",",et,tegeleb,filmiga
1065,,LOC,Võibolla,olen,ma,laupäevaõhtuse,suurepärase,prantsuse,dokumentaali,(,Witold,Gombrowiczi,absurdinäidendi
1066,,LOC,teinud,märkamagi,",",et,mõned,vene,poliitikud,tahavad,selle,tempo,aeglustamisega
1067,,LOC,veel,tänavu,uuesti,proovida,.,Londonis,lööb,laineid,film,Resurrection,Man
1068,,LOC,isamaa,”,kättevõitlemist,lauldi,siin,vene,keeles,“,Jumal,",",keisrit
1069,,LOC,“,Kogu,jagu,hakkab,siis,vene,keeles,rääkima,",",”,tunnistab
1070,,LOC,inglise,ja,saksa,autotööstusest,on,prantsuse,töösturid,ekstrakiirete,GT-autode,tootmisega,tegelenud
1071,,LOC,-,eesti,",",soome,ja,vene,.,Kaks,last,ja,maja
1072,,LOC,loen,venekeelset,.,Viimasena,lugesingi,vene,keeles,“,Tulitiigreid,.,”
1073,PER,LOC,ära,.,Uhse,maandus,Schlesswig-Holsteinis,Taani,piiri,ääres,",",kus,ta
1074,,LOC,lipp,d,.,metsavenna,joonistus,vene,raketibaasist,(,foto,Mart,Laari
1075,,LOC,-,Mille,poolest,paistab,silma,Londoni,uus,trendirestoran,Mash,?,a.
1076,,LOC,c,.,seal,teenindatakse,ka,vene,keeles,d,.,seal,ei
1077,,LOC,Leasing,müüdud,liiga,odavalt,.,Briti,transpordiministeerium,müüs,need,firmad,1996.
1078,,LOC,sissetulek,oleks,võimalikult,suur,.,Briti,valitsus,oleks,võinud,ettevõtete,allahindamist
1079,,LOC,kättesaamatuks,lõbuks,.,Nüüd,valmistab,vene,satelliidifirma,NPO-PM,ette,uusi,Express
1080,,LOC,sellesse,ettevõtmisse,kaasata,ka,tuntud,prantsuse,firmad,Alcatel,Espace,ja,Aerospatiale
1081,,LOC,ja,kirgliku,eluloo,.,Kunagine,prantsuse,filmidiiva,Brigitte,Bardot,on,juba
1082,,LOC,.,Tallinnas,nähti,küüditamise,mälestusmiitingul,vene,keelt,pruukival,noormehel,haakristiga,käesidet
1083,,LOC,.,(,Ja,räägib,ainult,vene,keelt,.,),Ja,isa
1084,,LOC,uuris,midagi,.,Oli,mingi,vene,professor,.,”,Hussar,:
1085,,LOC,Šveits,Liialt,kõrged,hinnad,.,Londoni,viimase,aja,trendiks,on,piiri
1086,,LOC,Maksimaalse,tulemusena,olevat,ühel,populaarsel,Londoni,restoranil,õnnestunud,möödunud,aasta,jooksul
1087,PER,LOC,kordub,",",”,märgib,Rõtov,Leedu,kohta,.,Kogemus,",",kuidas
1088,,PER,“,Lauri,”,ja,“,Jüri,”,-,nii,nad,teineteist
1089,,LOC,öö,”,.,Tegemist,on,prantsuse,algupära,rahvusvahelise,reklaamiorgiaga,",",mis
1090,,LOC,vaatepilt,-,6,spetsiaalselt,treenitud,vene,hurta,ajavad,taga,“,kunstlikku
1091,,LOC,jänest,”,.,Kanalil,on,vene-,ja,ingliskeelne,audio,.,-
1092,,LOC,kriminaalse,minevikuga,.,Ta,kõneleb,vene,keelt,ning,on,pärit,Lasnamäelt
1093,,LOC,suured,lapsed,ja,ei,oska,vene,keelt,.,Ma,ütlesin,vastu
1094,ORG,LOC,Timola,võttis,ühendust,Soome-Eesti,Seltsiga,Helsingis,",",sealt,suunati,ta,ELLi
1095,,LOC,kolumnisari,Päevalehes,c,.,mingi,vene,sopakirjaniku,raamat,Juri,Gagarini,tegelikust
1096,,LOC,omal,ajal,ära,taibata,.,Vene,või,saksa,innustust,siin,naljalt
1097,,LOC,.,Sa,ei,pruugi,osata,prantsuse,keelt,",",selle,aga,korvab
1098,,LOC,Vera,on,ilus,ja,lahke,vene,prostituut,",",kelle,tulek,lustivasse
1099,,LOC,Kuigi,teose,meloodiajoonis,areneb,välja,vene,õigeusu,liturgilisest,koorilaulust,ning,tekst
1100,,LOC,Pärt,kutsutud,osalema,Pariisis,toimunud,vene,kultuuri,festivalile,",",mis,toimus
1101,,LOC,on,premeeritud,SRÜ,kodanikke,või,vene,emigrante,.,Kui,Pärdile,tehti
1102,,LOC,taustal,saab,erilise,kaalu,tähtsa,vene,fondi,poolt,korraldatud,kontsert,rahvusvaheliselt
1103,,LOC,kontsert,rahvusvaheliselt,hinnatud,eesti,koorile,vene,kultuuri,festivalil,",",kus,esinesid
1104,,LOC,kultuuri,festivalil,",",kus,esinesid,vene,kultuuri,tähed,(,Juri,Bašmet
1105,,LOC,püsti,seistes,",",kontserdi,lindistasid,prantsuse,ja,vene,telekanalid,.,Meie
1106,,LOC,",",kontserdi,lindistasid,prantsuse,ja,vene,telekanalid,.,Meie,poolt,pildistas
1107,,LOC,",",kuigi,oleks,ju,võinud,vene,mõjukad,antreprenöörid,ja,eesti,muusikud
1108,,LOC,on,tehnika,osas,palju,vanadelt,prantsuse,gravööridelt,õppinud,",",ning,soovitas
1109,PER,LOC,ka,füüsiliselt,eksisteeriv,tulemus,.,Holland,on,era,kordselt,arhitektuurilembene,","
1110,ORG,LOC,Prora,puhkekompleksi,tulevikku,ning,Maasvlaktes,Hollandis,“,tehno,ranniku,”,turismi
1111,,LOC,vaatamisväärsus,.,Sellest,hoolimata,valisid,vene,lased,näiteks,Peterburi,koos,ümbruskonna
1112,,LOC,pagana,hästi,.,Tilburg,",",London,",",Viin,",",Kopenhaagen,","
1113,,LOC,vaid,omavolikogu,.,Et,kohaliku,vene,kogukonna,endised,intrimeelsed,juhid,töötavad
1114,,LOC,puhuvad,Hulliski,uued,tuuled,.,Briti,telefonituru,reguleerijad,nõuavad,",",et
1115,,LOC,kindlaks,just,sellele,firmale,.,Briti,telefoniäri,järelevalveorgani,Ofteli,juhil,Donald
1116,,LOC,",",et,alustada,sealses,koolis,prantsuse,keele,loengutega,.,Ta,saab
1117,,LOC,.,Lõbusalt,jutustatud,kurvad,lood,Londoni,noortest,70ndail,",",kui,elu
1118,,LOC,nõotud,teise,rinde,.,“,Berliin,”,-,paik,",",kus
1119,,LOC,pole,karikatuuri,ega,karikaturiste,.,Briti,ühiskond,on,väga,mitmekihiline,pirukas
1120,,LOC,),sagedusel,"11,055",GHz,H,prantsuse,moekanali,Fashion,TV,saated,.
1121,,LOC,rohkem,kulda,.,Disainerid,on,Londonist,.,”,Kolmas,hotell,tuleb
1122,,LOC,ühe,Pariisis,töötava,",",kuid,vene,rahvusest,ajakirjanikuga,ajaloo,teemal,.
1123,PER,LOC,elust,enesest,.,Lugupidamisega,V. Koppel,Harjumaalt,Õiendus,Hämmeldusega,avastasin,Teie,ajalehe
1124,,LOC,”,on,tulnud,eesti,keelde,vene,keele,vahendusel,",",kusjuures,vene
1125,,LOC,vene,keele,vahendusel,",",kusjuures,vene,keeles,oli,ta,saanud,marksistliku
1126,,LOC,Thruxtonis,Euroopa,atraktiivsemaid,võidusõidusarju,-,Briti,turismiautode,tšempionaat,(,BTCC,)
1127,,LOC,mitte,poola,",",vaid,hoopis,vene,keeles,.,Lääs,on,Valgevene
1128,,LOC,järgmise,suve,ettevõtmist,nimega,“,London,Blitzkrieg,',99,”,.
1129,,LOC,",",et,temast,sai,1880ndate,Londoni,üks,hiilgavamaid,ajakirjanikke,.,Alles
1130,,LOC,ei,olnud,juhus,",",et,prantsuse,kirjanduse,professorile,ei,antud,palju
1131,,LOC,temast,huvitatud,.,-,Vanal,vene,ajal,andis,KL,paberit,","
1132,,LOC,Park,Consul,on,inglise,ja,prantsuse,lossihotellide,kohalik,variant,.,Vähene
1133,,LOC,),üsna,tüüpilist,inglise,või,prantsuse,kolmetärni-hotelli,",",mida,sagedamini,kohtab
1134,,LOC,sellega,olla,elavaks,eeskujuks,siinsetele,vene,umbkeelsetele,",",ja,noor,sakslasest
1135,,LOC,või,kostüüm,.,Ka,üks,prantsuse,diplomaat,juhtis,mu,tähelepanu,sellele
1136,,LOC,nõukogu,esimees,Margus,Linnamägi,“,vene,pätiks,”,ning,teatas,Malõgini
1137,,LOC,on,ainult,lääne,autod,ja,vene,autosid,annab,juba,otsida,","
1138,ORG,LOC,POWER,.,Esinevad,Alex,P,Londonist,",",Meelis,Meri,",",Taavi
1139,PER,LOC,",",Dennis,Blizzard,ja,Silver,Rootsist,ning,Dave,Storm,Tallinna,äärelinnast
1140,,LOC,Robertson,pidas,küll,ilmselt,silmas,Londonit,.,Või,New,Yorki,.
1141,ORG,LOC,on,nagu,Future,Sound,Of,London,oma,parimatel,päevadel,(,“
1142,,LOC,prügikasti,.,Kuid,ühel,väikesel,prantsuse,poisil,hakkas,prügikasti,rändavatest,filmirullidest
1143,,LOC,:,seda,kinnitab,nende,tuntus,vene-,ning,eestikeelse,auditooriumi,hulgas,(
1144,,LOC,meelitatud,.,Tõsi,küll,",",vene,kõnepruugis,iseloomustatakse,nõnda,harilikult,noori
1145,PER,ORG,“,Akadeemia,läheb,taevasse,”,ETV,",",kolmapäeval,",",8.04,","
1146,PER,ORG,Lõhmus,Saatejuht,:,Ilmar,Raag,ETV,",",laupäeval,",",11.04,","
1147,,LOC,Suursoo,koduseks,keeleks,ongi,olnud,vene,keel,ning,Moskva,Ülikooli,kehakultuuriteaduskond
1148,,LOC,",",”,teatab,ta,ägedas,vene,keeles,.,Eesti,parim,jäähokimängija
1149,,LOC,rahvakogunemised,algasid,hommikul,kõigis,Ida-Virumaa,vene,linnades,-,Narvas,",",Jõhvis
1150,,LOC,tänaseks,kaotanud,huvi,Eestis,elavate,vene,rahvusest,pensionäride,vastu,.,Kui
1151,,LOC,hakanud,rohkem,suhtlema,Eestis,tegutsevate,vene,ärimeestega,.,Moskva,tahab,olla
