,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
1598,,LOC,protokolli,allakirjutamise,päevast,",",võivad,nõukogude,sõjalaevad,sisse,sõita,Tallinna,sadamasse
1599,,ORG,prostituudid,ja,teravad,elamused,.,EE,ülesandel,veetis,noor,ajakirjanik,eksperimendi
1600,,PER,”,kõneleb,mehes,tegutsejavaim,.,Jaan,kuulis,kord,raadiost,Jaapani,tänavatel
1601,,LOC,ETV,venekeelsete,saadete,peatoimetaja,.,Minsk,.,3.,detsember,1988.,Nõukogude
1602,,PER,et,lastele,jõulupakke,teha,.,Mõisa,koridoris,on,kohvima,sin,","
1603,LOC,PER,söödavat,.,Vahel,leiavadki,.,Erikal,on,kolm,alaealist,last,","
1604,ORG,PER,rahvas,usaldab,.,Kohila,alevivalitsus,Erika,ja,Lembi,appihüüdeid,ei,kuule
1605,,ORG,a.,eesti,dokfilmi,“,Patriarh,KGB,palgal,”,b,.,Martin
1606,,PER,d,.,Andrei,Tarkovski,“,Andrei,Rubljovi,”,-,Äsja,surnud
1607,,PER,toiduaine,Adavere,Lihatööstuses,toodetud,“,Rüütli,roog,”,ja,lätlaste,Kuramaa
1608,,LOC,.,See,hävitustöö,algas,juba,nõukogude,ajal,",",mil,Vilen,Künnapu
1609,,LOC,",",Erkki,Kõlu,“,Raadio,Tartu,1003,anekdooti,”,Greif,-
1610,,LOC,",",Erkki,Kõlu,“,Raadio,Tartu,1003,anekdooti,”,Greif,-
1611,,LOC,",",”,ütleb,Roy,.,Briti,kuulsaima,kirjandusauhinnaga,kaasnes,ligi,400
1612,ORG,PER,mis,hiljem,oli,koduks,Friedebert,Tuglasele,.,Kokoschka,joonistuse,hoidmine,ja
1613,,LOC,järeldust,:,esiteks,",",et,nõukogude,päevist,on,kodumaise,veinitoodangu,tase
1614,,ORG,oma,rõõmude,ja,muredega,.,TV1,näitab,37aastase,staazhiga,mammutsarjast,viimaste
1615,,LOC,kl,22.30 41,x,60,min,Briti,kvaliteetsarja,nimitegelane,James,Kavanagh,on
1616,,LOC,kvaliteetsarja,nimitegelane,James,Kavanagh,on,Londoni,hinnatumaid,advokaate,.,Tema,spetsialiteediks
1617,,PER,järgi,),.,R,:,Erik,Gustavson,O,:,Björn,Floberg
1618,,LOC,Pfeiffer,",",Susan,Sarandon,.,Hollywoodi,suurte,tähtede,Jack,Nicholsoni,","
1619,,LOC,Malkovich,",",Michelle,Pfeiffer,.,Hollywoodi,tähtedega,Prantsuse,revolutsiooni,ajal,aset
1620,,ORG,muudatusi,.,Filmipäevad,:,ETV,K,ja,L,Kanal,2,T
1621,,ORG,L,Kanal,2,T,",",K,",",R,ja,L,TV3s
1622,,ORG,",",R,ja,L,TV3s,K,",",R,ja,P,YLE
1623,,LOC,taas,tuvisid,.,“,Tagasi,Euroopast,”,on,Euroopast,tagasi,-
1624,,ORG,Soosaare,“,Lõpetamata,lugu,“,Estoniast,”,”,",",Riho,Undi
1625,,LOC,poolenisti,täis,.,“,Tagasi,Euroopasse,”,ei,sobinud,pikkkuselt,festivali
1626,,LOC,",",15.11,.,kl,13.30,NOKIA,Mediamaster,-,parim,digitaaltuuner,Eesti
1627,LOC,ORG,HRT,TV,1,",",HRT,TV,2,ja,HRT,TV,3 .
1628,,LOC,.,Sel,nädalal,hakkab,seesama,nõukogu,teisel,katsel,paika,panema,Eesti
1629,,LOC,oli,külas,SIRJE,KIVIMÄE,.,Balti,aadlikud,ei,olnud,solvunud,mitte
1630,,ORG,võitlev,hoiak,...,T,.,K,.,:,!,Naivism,","
1631,,ORG,iseenesest,naeruväärseks,.,T,.,K,.,:,Kui,läheneda,Halva
1632,,ORG,50ndail,kanda,kinnitanud,b-filmiga,...,I,.,V,.,:,...
1633,,ORG,vaesrahva,kino,...,T,.,K,.,:,...,tänan,Sind
1634,,ORG,reaalsusdominandi,purunemine,.,T,.,K,.,:,Selles,usutamatuse,õhkkonnas
1635,,ORG,noh,",",kes,teab,?,I,.,V,.,:,Exploited-
1636,,ORG,kunsti,painest,!,T,.,K,.,:,Stiliseeritud,õudus,oma
1637,,ORG,turns,into,purity,T,.,K,.,:,Halba,Filmi,ei
1638,,ORG,kui,Halva,Filmi,krestomaatia,.,I,.,V,.,:,Take
1639,,ORG,isikliku,vabaduse,.,T,.,K,.,:,Sa,mõista,mind
1640,,LOC,tüdrukule,",",et,esimene,kokkupuude,Hollywoodiga,jääb,ka,viimaseks,.,“
1641,,ORG,ja,K,.,J,.,K,.,1.,novembril,esilinastus,Tokyo
1642,,LOC,Eesti,Euroopas,erand,.,Kui,Briti,saatkond,1991.,aasta,sügisel,Tallinnas
1643,,ORG,hilineb,15,minutit,.,”,Estonia,direktor,Paul,Himma,:,“
1644,,ORG,200,miljoni,krooni,eest,.,EE,:,On,see,reaalne,?
1645,,LOC,.,Seal,istub,ka,turvafirma,nõukogu,esimees,Urmas,Sõõrumaa,.,Ükski
1646,,LOC,Andres,Sarri,",",AS,Norma,nõukogu,esimees,Jüri,Käo,",",AS
1647,,LOC,Benfica,minna,Lissaboni,börsile,.,Hollandi,Ajax,",",AZ,Alkmaar,ja
1648,,LOC,tulemusel,maailma,rikkaim,liiga,.,Briti,investeerijate,grupp,on,ühendust,võtnud
1649,,PER,ka,Kaplinskit,",",Mälli,ning,Krossi,puhulgi,otsitakse,vaid,vigu,.
1650,,ORG,USA,),-,Everyone,says,I,love,you,.,R,:
1651,,PER,peata,mannekeenid,.,Kaamera,liikumine,Kaarli,kiriku,noorelt,vaimulikult,Jaan,J. Leppikult
1652,,PER,Kanal,Reiting,1.,“,Lihtsalt,Maria,”,.,Mehhiko,sari,LNT
1653,,ORG,sari,LNT,32%,2.,“,Dallas,”,.,USA,sari,LNT
1654,,ORG,1,10%,VIDEO,3%,VNA,TV,3%,LATVIJAS,TV,2,3%
1655,,ORG,3%,VNA,TV,3%,LATVIJAS,TV,2,3%,PIIRKONDLIKUD,KANALID,1%
1656,,ORG,2,3%,PIIRKONDLIKUD,KANALID,1%,TV,RIGA,1%,ÜLEJÄÄNUD,KANALID,2%
1657,,ORG,USA,päritoluga,populaarseid,teleprogramme,.,TV,1,Estonia,saadab,testi,TV
1658,,ORG,populaarseid,teleprogramme,.,TV,1,Estonia,saadab,testi,TV,1,Estonia
1659,,ORG,TV,1,Estonia,saadab,testi,TV,1,Estonia,alustas,testisaateid,Intelsat
1660,,ORG,Estonia,saadab,testi,TV,1,Estonia,alustas,testisaateid,Intelsat,707,(
1661,,ORG,satelliidikanal,on,menüüdes,tähistatud,nimetusega,TV1,Estonia,ning,paigutatud,samasse,paketti
1662,,ORG,on,menüüdes,tähistatud,nimetusega,TV1,Estonia,ning,paigutatud,samasse,paketti,BBC
1663,,ORG,",",siis,saab,TV,1,Estoniat,praegu,vaadata,ükskõik,millise,Euroopas
1664,PER,LOC,aga,kõige,paremini,saatejuht,KATRIN,SAKS,",",kes,ainsana,näis,valdavat
1665,,LOC,aegadel,vorbiti,.,”,Ent,Hollywoodi,jahedus,ei,olnud,midagi,","
1666,,LOC,võrreldes,kodumaise,ajakirjanduse,õelusega,.,Briti,press,läks,lausa,raevu,","
1667,,ORG,ja,K,.,J,.,K,.,Quentin,Tarantino,filmigrupp,viibib
1668,,LOC,roosikasvatusfirmat,pidada,.,Mees,oli,nõukogude,ajal,võimlemisõpetaja,.,“,Ega
1669,,LOC,harimatud,tohtrid,ja,viiekümneaastane,viha,nõukogude,võimu,vastu,”,.,“
1670,,ORG,ette,ärev,õhtupoolik,",",mil,TV,x,teeb,otseülekannet,operatsiooni,(
1671,,ORG,turuväärtust,hinnatakse,miljonile,kroonile,!,EE,andmetel,ei,ole,Lepiksonile,sellest
1672,ORG,PER,!,EE,andmetel,ei,ole,Lepiksonile,sellest,ametikorterist,ette,kantud,.
1673,,ORG,ka,teised,siseministeeriumi,tippametnikud,.,EE,andmetel,on,ühel,kõrgel,liikluspolitsei
1674,,LOC,.,Vaid,naisterõivaste,vabriku,Elina,nõukogu,esimees,Jüri,Kraft,on,otsekohene
1675,PER,LOC,ise,.,Vandeadvokaadi,vanemabi,Reet,Saksa,arvates,“,ei,vasta,selline
1676,PER,LOC,hoolimata,on,Elina,maja,tagasisaamine,Saksa,sõnul,väga,keeruline,.,“
1677,ORG,LOC,eakamatele,pensionäridele,jõulupakikesi,.,Enne,Rakvere,volikogu,valimisi,võitles,Gross,innukalt
1678,ORG,LOC,-,Miks,kuulutas,ajakiri,Vogue,Soome,uueks,trendimaaks,?,a.,Soome
1679,,LOC,rääkidagi,",",neid,valvas,kogu,nõukogude,aja,poliitiline,tabu,.,Aga
1680,LOC,PER,.,Viimasel,leheküljel,ütleb,ta,Kaplinski,nime,välja,.,Krull,mõistab
1681,ORG,PER,ja,luuletaja,(,Jaan,),Unt,-,klassikaline,filoloog,",",TÜ
1682,,LOC,”,on,valminud,näituseks,“,Eesti,kui,märk,”,eelmisel,aastal
1683,,ORG,Tal,lin,nas,Toompuiesteel,valmis,esi,me,ne,funktsionalistlik,villa,(
1684,,ORG,.,“,Viilkatusemängud,”,",",EE,nr,46,",",-,Leonhard
1685,,ORG,.,Tol,ajal,ei,osanud,Hoiupanga,esimene,mees,Olari,Taal,uneski
1686,,ORG,.,Ent,oktoobri,lõpul,maksis,Hoiupanga,aktsia,börsil,vaid,184,krooni
1687,,ORG,finantsinvesteeringute,ümberhindamist,.,Teisipäevaks,oli,Hoiupanga,aktsia,hind,kukkunud,111,krooni
1688,,ORG,Leidub,ka,võimalus,d,-,Hoiupanga,aktsia,hinna,kasv,.,See
1689,,ORG,",",”,ütles,10.,novembril,Hoiupanga,maakler,Mattias,Mustonen,.,Tema
1690,,LOC,Koolis,õppisin,inglise,keelt,.,Vene,ajal,õppisime,vene,keelt,ja
1691,,LOC,.,Esimene,asi,",",mis,nõukogude,võim,tegi,",",konfiskeeris,kõik
1692,PER,LOC,",",Soome,au-kindralkonsul,;,Voldemar,Jaapani,konsul,Tallinnas,.,Voldemar,on
1693,,LOC,",",kus,hakkasid,end,ravima,nõukogude,armee,haiged,sõdurid,.,Joakimi
1694,PER,LOC,võitis,Eesti,parim,naiskergejõustiklane,Salumäe,Rooma,ja,Torino,maratoni,.,Ent
1695,,LOC,Roba,",",mõni,aasta,tagasi,Londoni,maratoni,korraldajatega,miljoneid,tagava,lepingu
1696,,ORG,isikud,on,politseile,teada,.,EE,tükkimineku,ajaks,kurjategijate,nimesid,ei
1697,,LOC,Konkursi,võitis,mister,Paul,Hurford,Londonist,.,Tema,ajude,hinna,ja
1698,,ORG,vesi,ahjus,.,Joon,alla,Estonia,hukk,tõi,kaasa,hulga,spekulatsioone
1699,PER,ORG,süüks,panevad,.,Korteriomanik,Eda,K,.,tellis,Eesti,Projektist,ekspertiisi
1700,PER,ORG,Eesti,Projektist,ekspertiisi,.,Eda,K,.,:,“,Minu,kahetoaline
1701,PER,ORG,pole,midagi,juhtunud,.,Eda,K-le,soovitas,osaühingult,Saku,Koda,töö
1702,PER,ORG,Küsimusele,",",miks,pidi,Eda,K,.,tasuma,lõigete,eest,","
1703,PER,ORG,tuleb,paigaldada,uus,põrand,Eda,K,.,korterisse,",",uut,lage
1704,,ORG,c,.,ta,laulis,“,I,',m,a,Barbie,girl
1705,PER,LOC,mudeli,nimi,?,a.,Ivan,Groznõi,b,.,Tsaar,Saltaan,c
1706,,PER,",",mingi,soomeugri,mentaliteet,.,Tuglase,“,Marginaalias,”,on,huvitav
1707,,ORG,selle,olemasolust,.,Sellele,toetubki,K,nn,akadeemiline,hoiak,-,konteksti
1708,,ORG,muutunud,moel,.,Millisesse,kaanonisse,K,siiski,paigutada,?,Kui,kehetestadagi
1709,,ORG,Six,Pianos,.,Piano,Circus,Estonia,kontserdisaalis,28.,novembril,.,Muusikakriitikud
1710,ORG,LOC,nagu,näiteks,tundis,Maie,Kais,Pärnu,arhitektina,",",tunneb,Lilian,Hansar
1711,,LOC,Batareinaja,naftasadama,tellija,.,Pakterminali,nõukogu,esimees,Aadu,Luukas,lükkab,selle
1712,,LOC,",",”,nendib,ta,.,Balti,sadamad,on,jäävabad,",",uued
1713,,LOC,"8,7","12,5","12,0","13,0","14,5",Riia,"5,5","4,7","5,9","7,4","7,4"
1714,,ORG,üha,madalamale,.,Ühispanga,ja,Hoiupanga,eestvedamisel,jõudsid,odavad,laenud,sel
1715,LOC,ORG,juhtide,ja,Lennart,Meri,kohtumisel,Kadriorus,jäädi,liialt,kauaks,tervitusšampanjat,jooma
1716,,LOC,järel,teine,mees,siiski,Norma,nõukogu,esimees,Jüri,Käo,.,Veel
1717,,LOC,Hiljuti,läks,müüki,ka,veel,nõukogude,ajal,alustatud,ühisettevõte,Indias,.
1718,,ORG,siis,muutunud,liiga,suureks,-,Hoiupanga,nõukogu,ja,Eesti,Energia,nõukogu
1719,,LOC,muutunud,liiga,suureks,-,Hoiupanga,nõukogu,ja,Eesti,Energia,nõukogu,juhtimine
1720,,LOC,Hoiupanga,nõukogu,ja,Eesti,Energia,nõukogu,juhtimine,ühe,isiku,kätte,anda
1721,,LOC,Ülo,Pärnits,ja,ETFC,Grupi,nõukogu,esimees,Tiit,Kõuhkna,.,Mõlemad
1722,,LOC,kõige,suuremat,huvi,just,Pakterminali,nõukogu,esimehe,Aadu,Luukase,ja,Jüri
1723,,LOC,Norma,ja,Eesti,Energia,",",nõukogu,esimees,Andres,Eesmaa,Hoiupanga,Liising
1724,,ORG,",",nõukogu,esimees,Andres,Eesmaa,Hoiupanga,Liising,",",juhataja,Juhan,Kolk
1725,PER,ORG,",",nõukogu,esimees,Aadu,Luukas,Pakterminal,",",nõukogu,esimees,Jüri,Käo
1726,,LOC,esimees,Aadu,Luukas,Pakterminal,",",nõukogu,esimees,Jüri,Käo,Norma,","
1727,,LOC,esimees,Jüri,Käo,Norma,",",nõukogu,esimees,Parbo,Juchnewitsch,Eesti,Raudtee
1728,,LOC,vahel,ka,aktsiaseltsi,Ilves-,Extra,nõukogu,esimees,Arvo,Kivikas,",",kes
1729,,LOC,Ilveses,tehtud,riideid,.,Omaaegse,nõukogude,koondise,liige,Arvo,Kivikas,pole
1730,,LOC,“,Erastamisega,saime,kaela,kõik,nõukogude,ajast,pärineva,suurettevõtte,halva,ja
1731,,LOC,Venemaa,loodab,",",et,kokkulepe,Londoni,Klubiga,võimaldab,Moskval,saada,järgmisel
1732,,ORG,meie,saatjatest,alustab,pühadeteemalise,sarjaga,TV1,.,Itaallastel,on,sajandi,algusest
1733,PER,LOC,vägiteod,",",orjastatud,rahva,viimine,Egiptusest,Tõotatud,Maale,ja,käsutahvlite,andmine
1734,,PER,2,Kolmapäev,17.12,-,“,Jeesuse,Kristuse,horoskoop,”,(,Jézus
1735,,LOC,Druyan,püüdsid,“,Kontakti,”,Hollywoodile,pakkuda,juba,80ndate,alguses,","
1736,,ORG,tekstile,vaatamata,pakub,“,Kuningriik,I,”,filmikriitikutele,väga,käepärase,võimaluse
1737,PER,ORG,taanikeelsed,TVS-Sportkanalen,ja,parlamendikanal,Star,TV,.,Veel,mitu,rootsi,orbitaalpositsiooni
1738,,LOC,Tänavu,septembris,ulatati,48aastasele,Kitanole,Euroopa,soliidseim,filmiauhind,",",Veneetsia,Püha
1739,,ORG,nõus,üürivõla,kinni,maksma,.,Kadrioru,kinnisvarahoolduse,ME,juhataja,Jüri,Männisalu
1740,LOC,PER,Kinnisvara,korteri,üürivõla,ja,aitas,Urmasel,korteri,erastada,.,Korteriga,seotud
1741,ORG,LOC,narkootikumid,",",Amsterdam,",",lauskjas,Austria,-,Viin,",",Klimt,","
1742,,LOC,Pikksukk,Suurbritannia,-,Shakespeare,",",London,",",BBC,",",Beatles,","
1743,LOC,ORG,tagasi,pääses,Martin,Müürsepp,esmakordselt,NBAs,oma,meeskonnas,algviisikusse,.,Kes
1744,,ORG,kui,ka,tartlaste,identiteeti,.,Postimehe,kui,Tartu,lehe,aura,on
1745,,LOC,70,),kandidatuur,Eesti,Panga,nõukogu,esimehe,kohale,on,ootamatu,","
1746,,LOC,.,Hagelberg,on,Eesti,Panga,nõukogu,liige,.,Peaministri,majandusnõunik,Ardo
1747,,LOC,Lennart,Meri,ta,Eesti,Panga,nõukogu,uueks,esimeheks,lubas,nimetada,.
1748,,LOC,.,Tema,küsimused,Eesti,Panga,nõukogu,istungitel,on,äärmiselt,põhjalikult,ette
1749,,LOC,”,kinnitab,praegune,Eesti,Panga,nõukogu,esimees,Uno,Mereste,.,Hagelberg
1750,,LOC,on,kõige,vanem,Eesti,Panga,nõukogu,liige,.,Ta,on,ametis
1751,,ORG,",",tuli,valitsusele,üllatusena,.,Koonderakonna,ministrid,oleks,oodanud,",",et
1752,,ORG,detsembril,1997,Eesti,Vabariigis,.,Ekspress,sai,alati,nokamütsi,kandvalt,austerlaselt
1753,,LOC,.,Aasia,päritolu,noored,muusikud,Londonist,d,.,sufid,",",mullad
1754,,LOC,kevadet,”,.,Allakirjutanu,mäletab,balti,kirjanduspreemia,loovutamist,Tõnu,Õnnepalule,.
1755,,PER,.,Põimuvad,erootilised,suhted,:,Anna,ei,suuda,armastada,Taanieli,","
1756,,PER,Sellest,külmast,maailmast,tavatses,väike,Anna,ennast,ära,-,printsessiks,-
1757,,LOC,Ristikivi,romaanidega,",",näiteks,“,Rooma,päevikuga,”,.,Olen,Õnnepalu
1758,,ORG,veel,Tom,Clancy,spioonilugu,“,Kremli,kardinal,”,ning,Fay,Weldoni
1759,,LOC,Põgenevad,pilved,”,ennekõike,stagneerunud,nõukogude,ühiskonda,.,Kaurismäki,komöödias,“
1760,,LOC,noores,teadmise,",",et,väljaspool,nõukogude,laga,on,elu,parem,.
1761,,PER,midagi,philipglassilikku,-,hiljem,Sirbist,Anneli,Remme,NYYD-festivali,ülevaadet,lugedes,märkasin
1762,,ORG,kooliteatri,tasemel,.,Miks,?,EE,zhürii,meelest,on,kuuest,finalistist
1763,,ORG,/,Division,.,Parimad,raadioreklaamid,EE,zhürii,arvates,on,“,Gustavsberg
1764,PER,LOC,rohkem,ehmatamapanev,.,5.,Ofelia,Saaremaa,viin,/,Brand,Sellers,TK
1765,,LOC,Kasulik,on,teada,",",et,nõukogude,inseneride,poolt,loodud,tehnoloogia,pole
1766,,LOC,kus,tervitusjoogiks,pakutakse,Sovetskoje,(,nõukogude,),šampanskojet,.,Parafraseerides,klassikuid
1767,,ORG,müügilolevast,saastast,natuke,parem,.,EE,külastas,koos,moekunstnik,Anu,Samarüütliga
1768,ORG,LOC,",",Eha,Sillaste,",",Ia,Lääne,.,Eero,Jürgenson,",",disainer
1769,,PER,Kärmas,Krahh,:,Pankrotimiljonär,Mart,Erik,60,000,000ga,miinuses,.
1770,ORG,PER,kuulutas,pankrotihaldur,välja,48,Mart,Erikule,kuulunud,kinnistu,müügi,kokku,15
1771,ORG,PER,.,“,Viiskümmend,protsenti,(,Eriku,-,toim.,),lankidest,on
1772,PER,ORG,Suure-Jaanis,puidutööstuse,.,Projekti,finantseeris,Dallase,ühemehepank,Beal,Bank,",",mille
1773,PER,LOC,.,Puiduäri,kapitaliga,asutas,Erik,Eesti,esimese,majanduslehe,Kaubalehe,.,Hoolimata
1774,ORG,LOC,teadusparki,",",nagu,on,Eureka,Helsingi,külje,all,",",kus,lapsed
1775,,ORG,Meeritsa,eesrindlikke,ideid,.,Kunagi,Hoiupanga,laenupoliitikat,sõnastades,pakkus,Meerits,","
1776,,LOC,.,Sama,kinnitab,ka,Hansapanga,nõukogu,esimees,Hannes,Tamjärv,",",arvates
1777,,ORG,ja,viis,ta,Hollywoodi,.,TV1,näitab,sama,romaani,põhjal,valminud
1778,,PER,märulfilmi,“,Operatsioon,“,Murtud,Nool,”,”,(,Broken,Arrow
1779,,ORG,.,KOLMAPÄEV,Ülekanne,reisiparvlaeva,“,Estonia,”,hukku,uurinud,rahvusvahelise,komisjoni
1780,,ORG,vastutust,.,PÜHAPÄEV,“,Hommiku,TV,”,.,Stiilne,saade,.
1781,,LOC,esindav,Kalev,Stoicescu,.,Koolikaaslastes,Mustamäelt,tekitas,Jürgensoni,sattumine,diplomaatiasse,hämmeldust
1782,PER,ORG,10.,novembri,hommikul,võttis,Rein,K,.,oma,120 000,krooni,maksvasse
1783,PER,ORG,ja,palus,sealsetel,spetsialistidel,Rein,K,.,juhtumit,kommenteerida,.,Neste
1784,ORG,PER,Audi,100,Neste,Rocca,al,Mare,tanklas,.,Varsti,pärast,kütuse
1785,PER,ORG,midagi,muud,.,Ka,Rein,K,.,ei,tahtnud,uskuda,","
1786,,LOC,elukeskkond,on,komponent,",",millega,Tartu,linn,omalt,poolt,haridusteenust,väärtustab
1787,,LOC,.,Erastamisagentuur,likvideerimisele,Eesti,Erastamisagentuuri,nõukogu,arutas,teisipäeval,",",mis,saab
1788,,LOC,kuid,need,leitakse,kindlasti,.,Briti,analüütiku,sõnul,oli,Saksa,kantsler
1789,,ORG,",",”,on,Anne,Kiigajaam,Hoiupangast,kindel,.,Sellel,sügisel,on
1790,ORG,LOC,Keskerakond,",",kes,on,võimul,Tallinna,volikogus,",",tahaks,müügikorraldamise,usaldada
1791,,LOC,heitvee,puhastusse,.,Meriväljale,ja,Nõmmele,tuleb,välja,ehitada,kanalisatsioon,.
1792,LOC,PER,taluda,.,Milline,hiigelsuur,tahtmine,Kristinas,tegelikult,möllab,",",ilmnes,Val
1793,,ORG,Belmondo,1991,Val,di,Fiemme,MMil,ja,Larissa,Lazutina,1987,Oberstdorfi
1794,,ORG,ja,Larissa,Lazutina,1987,Oberstdorfi,MMil,22sed,.,Kristina,Šmigun,saab
1795,PER,LOC,Goldberger,seiklust,kodakondsusega,.,Goldbergeri,Austria,kodakondsus,taastati,kiiresti,eelmisel,reedel
1796,,LOC,kaitseliitšikuks,-,Kust,sai,alguse,Londoni,Heathrow,lennujaama,tulekahju,?,a.
1797,,ORG,-,Mida,kinkis,endine,Miss,Estonia,Helen,Mahmastol,boyfriendile,?,a.
1798,,PER,Mida,kinkis,endine,Miss,Estonia,Helen,Mahmastol,boyfriendile,?,a.,Kranaadi
1799,,LOC,”,1993,",",“,Uus,Jeruusalemm,”,1993,",",“,Mehed
1800,,LOC,tuhandele,külastajale,mereteemalist,multimeedia-show'd,.,Portugali,paviljon,annab,ülevaate,kuulsatest,Portugali
1801,,LOC,aega,ringleb,müüt,",",et,nõukogude,ajal,ei,toimunud,nii,palju
1802,,LOC,teada,olnud,avaliku,saladuse,:,nõukogude,ajal,üritati,kuritegevuse,statistikat,igati
1803,,LOC,fond,.,Juunikuust,juhib,Kultuurifondi,nõukogu,tegevust,kirjastaja,Sirje,Endre,.
1804,,LOC,käest,",",kuniks,olete,Kultuurifondi,nõukogu,juht,?,Ei,tea,","
1805,PER,ORG,",",mis,ootamatult,meeldis,Nikolai,I-le,.,Kui,põhjalikumalt,tutvuda,Eesti
1806,,LOC,(,1984,),ja,“,Euroopa,”,(,Ameerikas,“,Zentropa
1807,,ORG,",",jne,.,“,Kuningriik,I,”,arendab,paralleelselt,ja,haakuvalt
1808,,ORG,Raha,või,looming,?,”,EE,12.,dets,1997.,Mart,Kalm
1809,PER,LOC,.,1935.,aastal,loobus,Matteus,Tartu,linnaarhitekti,kohast,",",mida,Kalm
1810,,ORG,.,Julgust,andsid,väljavaated,“,Vanemuise,”,teatrihoone,",",kindlustusselts,“
1811,,ORG,jagada,juristide,ja,pankrotihaldurite,ning,maksuameti,ja,töötajate,vahel,.,Ringkonnakohut
1812,,ORG,kas,Ookeani,pankrotipesast,saab,raha,maksuamet,või,välispangad,.,Pankrotihaldureid,ja
1813,,LOC,",",mis,on,kasulik,kõikidele,Balti,riikidele,.,Laar,:,Kindlasti
1814,,ORG,(,Schwarzwaldklinik,),ja,praegu,TV1s,jooksvast,krimiseriaalist,“,Derrick,”
1815,,ORG,”,oli,kavas,möödunud,neljapäeval,TV1s,),ning,reklaami-,ja,videoprogrammides
1816,ORG,PER,peaaegu,puudutada,juba,legendaarset,Aston,Martinit,",",millega,härrasmees,kihutas,ringi
1817,,ORG,põhjal,K,.,J,.,K,.,",",M,.,S
1818,,ORG,pojad,.,PÜHAPÄEV,“,Hommiku,TV,”,.,ETV,.,KALEV
1819,,LOC,ole,mingeid,raskusi,näiteks,koodivaba,Hollandi,Canal,+,digitaalpaketi,vastuvõtuga,.
1820,,ORG,jõulujutus,",",et,Ees,ti,Ekspress,kajastab,kõige,pa,re,mini
1821,,ORG,.,”,Kõike,jätkub,.,EE,tänavused,päkapikud,leiad,trükiEkspressi,lehekülgedelt
1822,,ORG,.,Kui,hakati,üle,võtma,TKP,fi,liaale,",",investeeris,Tool
1823,,LOC,",",kaalusid,ka,Tallinna,Panga,nõukogu,esimees,Guido,Sammelselg,ja,Tallinna
1824,,LOC,Guido,Sammelselg,ja,Tallinna,Panga,nõukogu,aseesimees,Targo,Raus,pangast,investeerimisfirmasse
1825,LOC,ORG,on,Jaak,Roo,sipuu,.,Talinvestil,on,50protsendiline,osalus,ETFC,Grupis
1826,,ORG,ESTIB-Talinvest,Varahaldus,.,Talinvest,oli,esi,me,ne,",",kes,alustas
1827,,LOC,maades,",",mis,olid,aastakümneid,nõukogude,võimu,all,.,Punane,rezhiim
1828,,ORG,TTÜ,keeltekeskuse,juhataja,humanitaarteaduskonna,prodekaan,EE,toimetus,palub,kõigil,",",kelle
1829,LOC,PER,kuul,nud,kunagi,Pärdist,",",Krossist,või,Lennartist,.,Poom,on
1830,,ORG,-,praegu,ei,kehti,.,EE,küsitles,Tartust,lahkunud,inimesi,","
1831,ORG,PER,näi,teks,lihavõtteks,Rooma,Püha,Peetri,platsile,ja,seda,me,","
1832,PER,LOC,“,äri,reisil,”,viibiv,Saksa,Vastu,luure,ülem,admiral,Wil
1833,ORG,LOC,.,Sagedamaid,külalisi,pärines,Tallinna,Saksa,saatkonnast,",",nagu,saadik,dr
1834,,LOC,Oskar,Kersoni,Nurme,tänava,kodus,Nõmmel,olid,Centumi,koos,viibimised,miniatüüris
1835,,ORG,kaks,.,Tee,nistujad,seisid,esi,mesel,palgaredeli,pulgal,.,Minu
1836,,ORG,valeväljakutseks,”,klassifitseerituna,Eesti,NSV,KGB,öö,päevasesse,operatiivkokkuvõttesse,",",mis
1837,,LOC,hiljem,maailmale,serveeritud,kui,“,Paldiski,tuumaobjekt,”,",",mis,sisaldab
1838,,ORG,varuvariante,juhuks,",",kui,(,esi,algu,veel,ebatõenäoline,),Balti
1839,,ORG,Arne,Kalbus,",",Pärnust,Püüman,K,.-A,.,",",Tallinnast,Mart
1840,ORG,PER,Tallinnast,Tooni,Berg,",",Tallinnast,Tamme,",",Tallinnast,Helle,Palu,","
1841,ORG,PER,Signe,Siim,",",Tallinnast,Heino,Tiidus,",",Kuressaarest,Julika,Kuusik,","
1842,ORG,PER,Saima,Pirn,",",Tallinnast,Helme,Mägi,",",Lääne-Virumaalt,Hannes,Namsing,","
1843,,ORG,",",juhtub,vangimajas,tihti,.,Eel,misel,aastal,veeti,Ämarist,välja
1844,,ORG,kolme,zonta,kaal,ja,ühe,EENA,mõistus,.,Eesti,Ekspress,-
1845,ORG,PER,-,naistodeke,.,Hvostov,",",Andrei,-,eesti,militaarpatrioot,",",vastustab
1846,,ORG,riigikogu,vähetuntud,kultuuri,komisjoni,vähetuntud,esi,mees,.,Arvatavasti,algaja,lauluema
1847,ORG,PER,lõpeb,süütute,ohvritega,Sauter,",",Peeter,-,Klooga,kraade,",",teinud
1848,ORG,PER,Raoul,Wallenberg,.,Vint,",",Toomas,-,Eesti,Magritte,",",paljastas
1849,,PER,ja,neokontseptualismi,seksuaalhälbelise,olemuse,.,Vähi,",",Peeter,-,budistlik,helilooja
